日付,状態,店舗名,都道府県,市区町村,業種,情報ソース,主要テナント一覧,開業形態,注目ポイント,要約
2025-12-17,確定,ハローズ呉広モール（全7店舗）,広島県,,商業施設,出店ウォッチ,全7テナント,開業済み,複数テナントで構成（7店舗）,既に開業済み。ハローズ呉広モールは全7店舗の構成で営業していると報告されている。
2026-03-15,確定,tonarie（トナリエ）北広島,北海道,北広島市,商業施設,出店ウォッチ,テナント一覧掲載,不明,出店テナントの一覧が公開されている,記事に全テナント一覧が掲載されており、出店テナントの構成が確認できる。
2026-04-18,確定,OHASHI HILL ゆめアール大橋,福岡県,,商業施設,出店ウォッチ,情報なし,先行開業,一部テナントが先行して開業,一部テナントが先行開業しているとの報告。全体の順次開業が見込まれる。
2026-04-23,確定,みと好文テラス,茨城県,水戸市,商業施設,出店ウォッチ,全11テナント,不明,11テナント構成が公表されている,全11テナントの入居構成が公表されており、出店ラインナップの詳細が記載されている。
2026-05-21,確定,ロピアモール滝ノ水,愛知県,,商業施設,出店ウォッチ,全7テナント,不明,7テナント構成が発表,全7テナントの構成が発表されている（テナント情報が一覧で確認できる）。
2026-08-28,確定,スーパーセンタートライアル松山空港通り店,愛媛県,松山市,スーパー,出店ウォッチ,トライアル,グランドオープン,正式開店（グランドオープン）,グランドオープンを迎えた（正式な営業開始）。
2026-09-01,確定,KINUJO Cafe & Bar,銀座,,カフェ・バー,PR TIMES,KINUJO,新規オープン,ブランド体験型のカフェ＆バー出店,KINUJOの世界観を体感できるカフェ＆バーが出店。洗練されたインテリアと料理・ドリンクでブランド体験を提供する旨が紹介されている。
2026-09-01,確定,オーケー高槻赤大路店,大阪府,高槻市,スーパー,食彩品館NEWS,オーケー,グランドオープン,地域向け大型スーパーの新規出店,新規オープンとして地域に新店舗を開設し営業を開始した。
2026-09-01,確定,ライフ鎌倉梶原店,神奈川県,鎌倉市,スーパー,食彩品館NEWS,ライフ,グランドオープン,地域密着型スーパーマーケットの出店,新規オープン。地域向けのスーパーマーケットとして営業を開始した。
2026-09-03,確定,サンディ吹田五月が丘店,大阪府,吹田市,スーパー,食彩品館NEWS,サンディ,グランドオープン,新規出店で営業開始,新規オープンにより営業開始。店舗の開店が報じられている。
2026-09-03,確定,スーパーのアオキ直江津店,新潟県,上越市,スーパー,食彩品館NEWS,情報なし,リニューアル,改装・売場刷新が実施,店舗の改装リニューアルが実施され、売場や設備の刷新が行われたと報告されている。
2026-09-03,確定,スギ薬局茜部南店,岐阜県,岐阜市,ドラッグストア,食彩品館NEWS,スギ薬局,グランドオープン,ドラッグストア新規出店,新規オープン。地域向けドラッグストアとして営業を開始した。
2026-09-03,確定,日本めぐり はくまる庵,全国,,和菓子・土産,PR TIMES,情報なし,新規オープン,全国の銘菓を集めた新業態,全国の名品・銘菓を集めた土産・和菓子店の新店舗が誕生したと発表されている。
2026-09-04,確定,クックマート上西店,静岡県,浜松市,スーパー,食彩品館NEWS,クックマート,グランドオープン,地域スーパーの新規出店,新規オープン。地域のスーパーとして営業を開始した。
2026-09-04,確定,スーパー生鮮館TAIGA桂子田店,不明,,スーパー,食彩品館NEWS,情報なし,グランドオープン,プレ→グランド移行,プレオープンを経て翌日にグランドオープンしたと報じられている（正式開店に移行）。
2026-09-04,確定,名古屋PARCO,愛知県,名古屋市,商業施設,食彩品館NEWS,複数（ユニクロ等記載あり）,リニューアル,施設大規模改装・テナント刷新,改装リニューアルが実施され、施設の刷新やテナント構成の変更が行われた。
2026-09-04,確定,メイチカ,愛知県,名古屋市,商業施設,食彩品館NEWS,情報なし,リニューアル,駅地下商業空間の改装,改装リニューアルにより施設や通路的なリニューアルが行われたと報告されている。
2026-09-04,確定,ウルフギャングステーキハウス名古屋店,愛知県,名古屋市,ステーキハウス,食彩品館NEWS,ウルフギャング,グランドオープン,海外ブランド/専門店の出店,新規オープン。名古屋にステーキハウスの新店舗が出店した。
2026-09-04,確定,ゴジラ・ストア Nagoya,愛知県,名古屋市,ファッション,食彩品館NEWS,ゴジラ・ストア,グランドオープン,専門系キャラクターショップの出店,新規オープン。ゴジラ関連商品を扱う専門店が名古屋に出店した。
2026-09-04,確定,ロピア彦根ナフコ店,滋賀県,彦根市,スーパー,食彩品館NEWS,ロピア,グランドオープン,ナフコ併設型の出店形態,新規オープン。地域向けのスーパーマーケットとして営業を開始した。
2026-09-07,確定,俺の割烹 梅田北新地,大阪府,,和食,流通ニュース,俺の割烹,グランドオープン,関西初進出のブランド出店,和食ブランドが関西エリアに初進出する形で新店舗を開設したと報じられている。
2026-09-08,プレ,スーパーセンタートライアル名張店,三重県,名張市,スーパー,食彩品館NEWS,トライアル,プレオープン,プレオープン（翌日グランドオープン予定）,プレオープン実施。翌日にグランドオープンの予定（正式開店に移行）。
2026-09-09,確定,銀だこハイボール酒場 すすきのグルーヴビル店,北海道,札幌市,居酒屋,食彩品館NEWS,銀だこ,グランドオープン,居酒屋業態の新展開,新規オープン。銀だこの居酒屋業態が札幌すすきのに出店した。
2026-09-09,ソフト,そよら津桜橋,三重県,津市,商業施設,食彩品館NEWS,情報なし,ソフトオープン,段階的開業（ソフトオープン予定）,ソフトオープン予定。段階的にテナントが開店していく見込み。
2026-09-09,確定,アクロスプラザ高砂,兵庫県,高砂市,商業施設,流通ニュース,複数（マルアイ新業態等）,グランドオープン,複合商業施設・新業態導入,複数テナントを含む商業施設が開業し、マルアイの新業態なども出店している。
2026-09-09,確定,れんげ食堂Toshu 北小金店,千葉県,松戸市,食堂,流通ニュース,れんげ食堂,グランドオープン,飲食チェーンの新規出店,オリジン東秀による飲食ブランドの新店舗が出店したと報じられている。
2026-09-10,確定,マルナカ檀紙店,香川県,高松市,スーパー,食彩品館NEWS,マルナカ,リニューアル,改装による売場刷新,改装リニューアルが行われ、店舗設備や売場が刷新された。
2026-09-10,確定,ザ・ビッグエクスプレスみよし店,愛知県,みよし市,スーパー,食彩品館NEWS,ザ・ビッグ,グランドオープン,新業態の地域展開,新規オープンして営業を開始したと報じられている。
2026-09-10,確定,ファミリーマート中津川下野店,岐阜県,中津川市,コンビニ,食彩品館NEWS,ファミリーマート,グランドオープン,コンビニ新規出店,新規オープン。地域のコンビニエンスストアとして営業を開始した。
2026-09-10,確定,とりせん田沼インター店,栃木県,,スーパー,食彩品館NEWS,とりせん,グランドオープン,地域スーパーの出店,新規オープン。地域向けスーパーの新店舗が開店した。
2026-09-10,確定,マックスバリュ城栄店,九州,,スーパー,流通ニュース,マックスバリュ,業態転換,既存店舗の業態転換（ジョイフルサン→マックスバリュ）,既存店舗をジョイフルサンから業態転換してマックスバリュとして営業を開始したと報告されている。
2026-09-10,確定,まいばすけっと新鎌ヶ谷駅店,千葉県,鎌ケ谷市,スーパーマーケット,流通ニュース,まいばすけっと,グランドオープン,駅近小型スーパーの出店,新規オープン。駅近の小型スーパーとして出店し営業を開始した。
2026-09-10,確定,トフロム八重洲タワー,東京都,中央区,商業施設,流通ニュース,複数（55店舗規模）,グランドオープン,大型複合商業（55店舗規模）,商業ゾーンに老舗や新業態を含む55店舗規模の開業があり、多数のテナントが出店した。
2026-09-11,確定,9/11ザ・ビッグ厚別店,北海道,札幌市,スーパー,食彩品館NEWS,ザ・ビッグ,グランドオープン,地域スーパー新規開店,新規オープンとして9月11日に開店した旨が報じられている。
2026-09-11,確定,スーパーマーケットバロー豊中島江店,大阪府,豊中市,スーパー,食彩品館NEWS,バロー,グランドオープン,地域スーパーマーケットの出店,新規オープン。地域向けスーパーマーケットの新店舗が営業開始。
