日付,状態,店舗名,場所,業種,情報ソース,概要,内容要約
2025-12-17,確定,ハローズ呉広モール（全7店舗）,広島県,商業施設,出店ウォッチ,広島県内の大型商業モールに7店舗が開業済み,開業済み
2026-03-15,確定,tonarie（トナリエ）北広島,北海道北広島市,商業施設,出店ウォッチ,北広島の商業施設に入居する全テナント一覧が公開されている,全テナント一覧記載
2026-04-18,確定,OHASHI HILL ゆめアール大橋,福岡県,商業施設,出店ウォッチ,福岡・大橋に先行開業した商業施設（段階的に店が入る見込み）,先行開業
2026-04-23,確定,みと好文テラス,茨城県水戸市,商業施設,出店ウォッチ,水戸市の新商業施設に11テナントが入居する計画が発表されている,全11テナント
2026-05-21,確定,ロピアモール滝ノ水,愛知県,商業施設,出店ウォッチ,愛知の大型モールに7つのテナントが入居して開業,全7テナント
2026-08-28,確定,スーパーセンタートライアル松山空港通り店,愛媛県松山市,スーパー,出店ウォッチ,松山空港通り沿いにトライアルのグランドオープンが実施された,グランドオープン
2026-09-01,確定,KINUJO Cafe & Bar,銀座,カフェ・バー,PR TIMES,KINUJOブランドの世界観を反映した銀座のカフェ&バー、内装と料理で世界観を表現,KINUJOの世界観を五感で楽しむ洗練されたインテリアと美食が融合した店舗
2026-09-01,確定,オーケー高槻赤大路店,大阪府高槻市,スーパー,食彩品館NEWS,高槻市に新規出店したオーケーのスーパーマーケット,新規オープン
2026-09-01,確定,ライフ鎌倉梶原店,神奈川県鎌倉市,スーパー,食彩品館NEWS,鎌倉市に開店したライフの新店舗（地域密着型の品揃えを予定）,新規オープン
2026-09-03,確定,サンディ吹田五月が丘店,大阪府吹田市,スーパー,食彩品館NEWS,吹田市に新しくオープンしたディスカウント系スーパー,新規オープン
2026-09-03,確定,スーパーのアオキ直江津店,新潟県上越市,スーパー,食彩品館NEWS,既存店舗の改装を行いリニューアルオープンした,改装リニューアル
2026-09-03,確定,スギ薬局茜部南店,岐阜市,ドラッグストア,食彩品館NEWS,岐阜市に新規オープンしたドラッグストア店舗,新規オープン
2026-09-03,確定,日本めぐり はくまる庵,全国,和菓子・土産,PR TIMES,全国の名品・銘菓を集めた新業態店舗が誕生、土産や和菓子を販売,全国の名品・銘菓を集めた新店舗誕生
2026-09-04,確定,クックマート上西店,静岡県浜松市,スーパー,食彩品館NEWS,浜松市にオープンした地域スーパー、新鮮食材を中心に販売,新規オープン
2026-09-04,確定,スーパー生鮮館TAIGA桂子田店,不明,スーパー,食彩品館NEWS,プレオープンを経て翌日グランドオープンした生鮮特化型スーパー,プレオープン翌日グランドオープン
2026-09-04,確定,名古屋PARCO,愛知県名古屋市,商業施設,食彩品館NEWS,名古屋PARCOが施設改装を行いリニューアルオープン、テナント再編あり,改装リニューアル
2026-09-04,確定,メイチカ,愛知県名古屋市,商業施設,食彩品館NEWS,名古屋駅近くの地下商業街が改装リニューアルを実施,改装リニューアル
2026-09-04,確定,ウルフギャングステーキハウス名古屋店,愛知県名古屋市,ステーキハウス,食彩品館NEWS,名古屋に高級ステーキハウスの新店舗が出店,新規オープン
2026-09-04,確定,ゴジラ・ストア Nagoya,愛知県名古屋市,ファッション,食彩品館NEWS,名古屋にキャラクター関連の物販店が新規オープン,新規オープン
2026-09-04,確定,ロピア彦根ナフコ店,滋賀県彦根市,スーパー,食彩品館NEWS,ナフコ敷地内にロピアの店舗が開業し、地域客を想定した出店,新規オープン
2026-09-07,確定,俺の割烹 梅田北新地,大阪府,和食,流通ニュース,関西初進出となる和食ブランドが梅田北新地にオープン,和食ブランド関西初進出
2026-09-08,プレ,スーパーセンタートライアル名張店,三重県名張市,スーパー,食彩品館NEWS,名張市でプレオープン中、翌日にグランドオープン予定の大型店舗,プレオープン（翌日グランドオープン）
2026-09-09,確定,銀だこハイボール酒場 すすきのグルーヴビル店,北海道札幌市,居酒屋,食彩品館NEWS,札幌すすきのに銀だこ系のハイボール酒場が新規出店,新規オープン
2026-09-09,ソフト,そよら津桜橋,三重県津市,商業施設,食彩品館NEWS,津市に複合商業施設がソフトオープン予定、段階的に店舗追加予定,ソフトオープン予定
2026-09-09,確定,アクロスプラザ高砂,兵庫県高砂市,商業施設,流通ニュース,高砂市に複合商業施設が開業、スーパーマーケットを含む複数業態が入居,マルアイ新業態も登場
2026-09-09,確定,れんげ食堂Toshu 北小金店,千葉県松戸市,食堂,流通ニュース,オリジン東秀による新業態の食堂が北小金に出店,オリジン東秀による新店舗
2026-09-10,確定,マルナカ檀紙店,香川県高松市,スーパー,食彩品館NEWS,マルナカの既存店舗を改装してリニューアルオープンした,改装リニューアル
2026-09-10,確定,ザ・ビッグエクスプレスみよし店,不明,スーパー,食彩品館NEWS,三好地域に新しくオープンしたザ・ビッグの小型店,新規オープン
2026-09-10,確定,ファミリーマート中津川下野店,岐阜県中津川市,コンビニ,食彩品館NEWS,中津川市に新規出店したファミリーマートの店舗,新規オープン
2026-09-10,確定,とりせん田沼インター店,栃木県,スーパー,食彩品館NEWS,田沼インター近くに新規オープンしたスーパーマーケット,新規オープン
2026-09-10,確定,マックスバリュ城栄店,九州,スーパー,流通ニュース,ジョイフルサン業態を転換してマックスバリュとして再出店,ジョイフルサンを業態転換
2026-09-10,確定,まいばすけっと新鎌ヶ谷駅店,千葉県鎌ケ谷市,スーパ��,流通ニュース,駅近に小型スーパーチェーンが新規出店、利便性重視の品揃え,新規オープン
2026-09-10,確定,トフロム八重洲タワー,東京都中央区,商業施設,流通ニュース,八重洲タワー商業ゾーンに老舗や新業態含む計55店舗が開業（大規模商業ゾーン） ,商業ゾーンに老舗や新業態など55店舗オープン
2026-09-11,確定,9/11ザ・ビッグ厚別店,北海道札幌市,スーパー,食彩品館NEWS,札幌厚別地区にザ・ビッグの新店舗がオープン予定（9/11表記） ,新規オープン
2026-09-11,確定,スーパーマーケットバロー豊中島江店,大阪府豊中市,スーパー,食彩品館NEWS,豊中市に出店したバローの新店舗、地域密着型スーパー,新規オープン
2026-09-11,確定,スポーツデポ・ゴルフ5（おのだサンパーク内）,山口県,スポーツ用品,流通ニュース,おのだサンパーク内にスポーツ用品専門店が同時オープン,同時オープン
2026-09-12,確定,PREMIUM BUFFET弘前店,青森県弘前市,バイキング,流通ニュース,弘前に新業態のビュッフェ店が開業、ベーカリー導入で商品ラインナップ拡充,ベーカリー導入
2026-09-14,確定,ゆめマート八代高田,熊本県,スーパー,流通ニュース,熊本で営業が再開されたゆめマートの店舗、改装や運営体制変更の可能性あり,営業再開
2026-09-16,確定,SANYO Style STORE PLUS イオンモール岡崎店,愛知県岡崎市,商業施設,食彩品館NEWS,イオンモール岡崎内にSANYOの体験型ストアが出店,新規オープン
2026-09-16,確定,ヨドバシカメラ マルチメディア名鉄名古屋店,愛知県名古屋市,電器量販店,流通ニュース,名古屋に大型家電量販店が出店、総売場面積は1万1900㎡と大規模,総売場面積1万1900㎡
2026-09-17,確定,明治屋自由が丘ストアー,東京都目黒区,スーパー,食彩品館NEWS,自由が丘に明治屋の新業態店舗がオープン、食材や輸入品を中心に販売,新規オープン
2026-09-17,確定,ロピア ムサシ新潟西店,新潟市,スーパー,食彩品館NEWS,新潟市にロピアの新店舗が開業、低価格商品を中心に展開,新規オープン
